NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,427.1199601249712
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,438.7960212945783
b38a03232f43b11c9d0788abaf060f7366053b6d,562.6069604515396
70b682d9a3636be23f6120fa9d6b164eb3c6002d,2.6032138801698803
715494628a50142ce8cb17191cfe6d0f3cae0934,553.6933654469107
e656d6bad65c93fb2880f1eba5037008c8e75774,472.00323437171227
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,550.113433988922
11539e86171bf07d3a36f09377d7f54ebcc8406a,411.3646075938313
043c544a2104aa8a9849f1a703a08d37a2f16839,462.8355159928794
76ba050e64ad100b856f0eaabd8f539d5c7dd185,469.2970988967212
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-8.299247669342172
db4da599aab5bb08dce27094a35fd3e36cd0abce,-12.452499410584139
940aede382ccb332fab15d413217695ec44ca765,479.7398607991622
9ad714b116da76d878dd399d187fccc2dd13dd63,545.3716739027561
dd34464a4d780b12a089347ad580418ac57a3055,506.96193052685067
f837a4cb05a5fd59d20138182f5e8c721eadd584,493.84402798363794
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-8.84143098272091
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-6.780474870024832
8b0c675d7fde14953668269d378c588f0df0498b,-6.93878841920905
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,383.52783366751
3d203727f27abd83b71732d88d8cb1cc099f363b,426.50727621452546
d30d31c8ff45094e9a992c63d4a6f68b245a341a,90.952632005099
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-11.62761906034139
cbc301183dec912f3513ca766bf03dd565f3a38f,491.51309384284747
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,605.95076372123
11282da1ee78c8db45a041db4c744e33df489df0,448.85654930667044
03c67f683a415c2ea09b582248bd4cb08528c19d,591.4395852329106
046e844fb06a07ba30b41521f0065a8d9c6e5024,400.07612269052504
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,481.699587471716
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,14.003183378955814
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-14.444189000600108
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,429.7100307493878
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,538.6515672137866
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,484.93471261505715
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,525.6114878964137
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,482.8263147293459
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,483.7685314744819
59bfa081e020013410d9f60f91813964ba749bb2,430.31162806668095
f5e069ee3bc95998464e8ff5da048b7f999921ed,400.30220263733645
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,567.3983564239045
664f44258212a1f7e4086f2b4845d586c543fa3f,472.74316395779334
265cd7befa74a9f2a198fc57baec9858075f8419,442.80094977904156
6f9ac44919bbd204e0ef15185388fd2d4bc61253,513.2482801825986
78de1ee60b55766cc3eba4089e36c57139b66ebd,467.19358243757
24550edb10f283ef4e953fd6a8fedbfa211bd456,-14.153354863264294
1e61a474acdc043eb39a89c17fab34bd2ea1a940,432.8096939841085
940af68ded6af2875708611051aa7ff3f134d80b,504.00387080712414
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,477.49175747636923
c76ddf6e9f80984e901b12f9462a3cf029bea290,529.9440022156186
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,459.2639402062613
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,76.50233015123398
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,41.7665561885343
92823d467a2ced9529801e0e8a94802dd88f0c17,445.19348067468997
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,591.086846136704
